measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,India,Male,40 to 44,Ischemic heart disease,Number,2010,35066.034275064616,36896.41848315469,33347.80484596451
Deaths,India,Female,40 to 44,Ischemic heart disease,Number,2010,12026.85480263752,12916.42615076268,11156.551249023969
Deaths,India,Male,45 to 49,Ischemic heart disease,Number,2010,48133.48401242792,50445.86738813345,45823.65962389969
Deaths,India,Female,45 to 49,Ischemic heart disease,Number,2010,16555.786542038768,17631.762465345,15398.651591478467
Deaths,India,Male,50 to 54,Ischemic heart disease,Number,2010,63173.19110086845,65991.27351635217,60070.762023553296
Deaths,India,Female,50 to 54,Ischemic heart disease,Number,2010,20157.657156448186,21505.285634093725,18740.69842028591
Deaths,India,Male,55 to 59,Ischemic heart disease,Number,2010,71593.28502257053,74988.00582812977,68137.57252227774
Deaths,India,Female,55 to 59,Ischemic heart disease,Number,2010,33176.86529374571,35349.06250107973,31142.115332644622
Deaths,India,Male,60 to 64,Ischemic heart disease,Number,2010,92723.40810095682,97210.53572981145,87781.2031744164
Deaths,India,Female,60 to 64,Ischemic heart disease,Number,2010,48089.91811874657,51610.88916346414,44776.9166890264
Deaths,India,Male,65 to 69,Ischemic heart disease,Number,2010,99284.16609279026,104547.09848029158,92053.86403491002
Deaths,India,Female,65 to 69,Ischemic heart disease,Number,2010,57901.167457396536,61811.16729596693,52372.14698678693
Deaths,India,Male,70 to 74,Ischemic heart disease,Number,2010,99430.88716083966,105710.58806720359,91351.05956180906
Deaths,India,Female,70 to 74,Ischemic heart disease,Number,2010,67927.99201951174,73296.6264031318,61491.40699477763
Deaths,India,Male,75 to 79,Ischemic heart disease,Number,2010,90286.35769230366,96101.83780975809,82836.83212444276
Deaths,India,Female,75 to 79,Ischemic heart disease,Number,2010,70855.87564770575,77270.53592465747,63681.77678932144
Deaths,India,Male,80 plus,Ischemic heart disease,Number,2010,114394.04678808669,125219.6818476306,99948.04498626693
Deaths,India,Female,80 plus,Ischemic heart disease,Number,2010,96004.58867680159,107761.30859132754,85206.87223028218
Deaths,India,Male,40 to 44,Stroke,Number,2010,9069.308046768037,9812.743211734156,8420.813533199418
Deaths,India,Female,40 to 44,Stroke,Number,2010,5293.446379848646,5808.789297455067,4866.280491329684
Deaths,India,Male,45 to 49,Stroke,Number,2010,12877.318660234574,13826.845077550677,12021.71150089649
Deaths,India,Female,45 to 49,Stroke,Number,2010,8369.336098518506,9105.062182762633,7717.117871399515
Deaths,India,Male,50 to 54,Stroke,Number,2010,20371.12370785589,21751.62317185101,19072.574555022482
Deaths,India,Female,50 to 54,Stroke,Number,2010,11016.610601731598,11860.681574438975,10235.22162621609
Deaths,India,Male,55 to 59,Stroke,Number,2010,26888.002887672814,28513.16084322998,25424.723273800475
Deaths,India,Female,55 to 59,Stroke,Number,2010,18633.041487151426,19830.792067385522,17342.855239602563
Deaths,India,Male,60 to 64,Stroke,Number,2010,41723.47555225936,44456.17962166864,38911.123377629934
Deaths,India,Female,60 to 64,Stroke,Number,2010,32292.045439776877,34810.78811027468,29892.10660100114
Deaths,India,Male,65 to 69,Stroke,Number,2010,52938.8223415379,56588.20692749058,48656.2653761875
Deaths,India,Female,65 to 69,Stroke,Number,2010,41206.74106691814,44157.435043909056,37336.6249390862
Deaths,India,Male,70 to 74,Stroke,Number,2010,51567.38271979236,55463.69292478539,46883.77380027196
Deaths,India,Female,70 to 74,Stroke,Number,2010,45242.25137922229,49061.245719022634,40785.00344490913
Deaths,India,Male,75 to 79,Stroke,Number,2010,47429.65383100128,51476.557006723735,43004.11360379269
Deaths,India,Female,75 to 79,Stroke,Number,2010,44567.580785673475,49019.921749963185,39629.38317897831
Deaths,India,Male,80 plus,Stroke,Number,2010,47642.37161753557,53006.77782285413,41101.74807681675
Deaths,India,Female,80 plus,Stroke,Number,2010,48994.02685523511,55699.08768372413,43191.55969848105
Deaths,India,Male,40 to 44,All causes,Number,2009,211491.75894795457,216306.53588895113,207062.24453505367
Deaths,India,Female,40 to 44,All causes,Number,2009,111223.67080180992,114024.56472958246,108703.7351566316
Deaths,India,Male,45 to 49,All causes,Number,2009,234261.51924658602,239433.59373726934,229402.43271177472
Deaths,India,Female,45 to 49,All causes,Number,2009,114142.78726281422,116660.30694999655,111728.95219987724
Deaths,India,Male,50 to 54,All causes,Number,2009,268999.1016829762,275624.2662673548,262939.96469495754
Deaths,India,Female,50 to 54,All causes,Number,2009,131511.23584032446,134572.64960075688,128513.36460846596
Deaths,India,Male,55 to 59,All causes,Number,2009,284836.7257440218,291108.32404283073,278801.74258849607
Deaths,India,Female,55 to 59,All causes,Number,2009,186591.94027363445,191145.83370367982,182261.346679981
Deaths,India,Male,60 to 64,All causes,Number,2009,412457.9443924244,420773.8640616444,404230.0458043004
Deaths,India,Female,60 to 64,All causes,Number,2009,287159.1202836422,293580.42085263424,280885.13459233113
Deaths,India,Male,65 to 69,All causes,Number,2009,472064.25068171,480736.1643799809,463320.67480901437
Deaths,India,Female,65 to 69,All causes,Number,2009,342714.0229346013,350218.4395560707,335568.68020183296
Deaths,India,Male,70 to 74,All causes,Number,2009,493536.40763339703,502223.2933638039,484805.91680671135
Deaths,India,Female,70 to 74,All causes,Number,2009,421061.69060450856,429730.20156540273,412670.5186094647
Deaths,India,Male,75 to 79,All causes,Number,2009,471721.7460429149,480416.3762348281,463350.72631777637
Deaths,India,Female,75 to 79,All causes,Number,2009,428181.65363672,437226.63793875277,419669.01260736154
Deaths,India,Male,80 plus,All causes,Number,2009,601502.8993738889,610530.2218193697,593188.6707151568
Deaths,India,Female,80 plus,All causes,Number,2009,622716.3844981969,633233.414500817,612890.9496927242
Deaths,India,Male,40 to 44,All causes,Number,2013,206015.43117568915,210184.24605307603,201647.9085936587
Deaths,India,Female,40 to 44,All causes,Number,2013,113075.30327612418,115873.75877353198,110594.19621708847
Deaths,India,Male,45 to 49,All causes,Number,2013,249488.67334981065,254835.4468551663,244032.5627288987
Deaths,India,Female,45 to 49,All causes,Number,2013,125803.62906511044,128521.24591214962,123373.6274619658
Deaths,India,Male,50 to 54,All causes,Number,2013,287026.6863894442,293117.23805322463,280880.4844017429
Deaths,India,Female,50 to 54,All causes,Number,2013,187424.96219809048,191590.05841108056,183613.6300144701
Deaths,India,Male,55 to 59,All causes,Number,2013,370941.2810354535,377856.43148194294,363577.6358894316
Deaths,India,Female,55 to 59,All causes,Number,2013,224709.13308313853,229885.80794930382,219983.4153086257
Deaths,India,Male,60 to 64,All causes,Number,2013,454693.84638713085,462816.4092174171,446444.6874244621
Deaths,India,Female,60 to 64,All causes,Number,2013,319802.83369201224,326805.03642392287,313485.3665095533
Deaths,India,Male,65 to 69,All causes,Number,2013,519279.0142313821,527969.3259855515,510342.44529224775
Deaths,India,Female,65 to 69,All causes,Number,2013,370565.4540511173,378422.7097418354,363439.5959599771
Deaths,India,Male,70 to 74,All causes,Number,2013,541376.7072580041,550170.8452246124,532174.6253972667
Deaths,India,Female,70 to 74,All causes,Number,2013,454338.4905169253,463603.4215603809,445659.1896438976
Deaths,India,Male,75 to 79,All causes,Number,2013,496455.66805236007,504622.407596304,487683.7798561551
Deaths,India,Female,75 to 79,All causes,Number,2013,463159.9019320954,472845.83553802443,454354.4748208417
Deaths,India,Male,80 plus,All causes,Number,2013,722494.4711760593,731903.7897462589,712513.5649545266
Deaths,India,Female,80 plus,All causes,Number,2013,791604.6117093414,804440.619303508,779384.495036688
Deaths,India,Male,40 to 44,All causes,Number,2017,201199.32372412874,207676.28625413828,195165.09240790582
Deaths,India,Female,40 to 44,All causes,Number,2017,128933.40412192937,133919.8398096137,124372.20956591226
Deaths,India,Male,45 to 49,All causes,Number,2017,254556.93990942062,263245.26331602316,246421.5073476086
Deaths,India,Female,45 to 49,All causes,Number,2017,145371.5367199482,150246.52102442144,140937.70551018885
Deaths,India,Male,50 to 54,All causes,Number,2017,291872.5023117352,301285.5520093777,282859.93609770265
Deaths,India,Female,50 to 54,All causes,Number,2017,252427.6667663989,260780.7895875028,244510.91571481538
