measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2009,24684.6596503,31919.2709454,18821.8579054
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2009,14263.5910377,19326.2040729,10014.9532317
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2009,38809.3373039,51781.6499618,28296.7159583
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2009,19454.2771117,27422.857039,13006.3883305
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2009,55201.9220671,66180.1436448,45174.0944311
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2009,26760.7784269,34028.3555616,20267.2694093
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2009,73364.5185627,95170.3626496,55220.0798713
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2009,37090.057829,50010.8153551,25719.4757203
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2009,92589.3302637,111164.391091,76272.1242933
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2009,52962.6868035,64361.3682028,42496.7768753
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2009,101799.28925,128211.985476,78560.9695673
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2009,66000.0201422,84834.0248739,50367.6577179
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2009,95269.295017,114748.670345,79646.8400385
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2009,73445.0357572,88655.5455119,61325.1496783
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2009,77158.0884681,100466.776155,58774.6472522
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2009,61770.473244,80303.548451,46724.2925503
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2009,75536.0221721,90397.5501809,63571.8375331
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2009,63822.8958816,76402.2935213,53822.4972929
Incidence,India,Male,40 to 44,Stroke,Number,2009,30505.5029829,35580.3659711,25890.1688351
Incidence,India,Female,40 to 44,Stroke,Number,2009,23408.7073868,27310.6622376,19883.4899558
Incidence,India,Male,45 to 49,Stroke,Number,2009,40659.4269731,48421.7923277,33867.7931841
Incidence,India,Female,45 to 49,Stroke,Number,2009,30810.3610115,37281.3719845,25550.1128356
Incidence,India,Male,50 to 54,Stroke,Number,2009,48184.6356,54949.3444112,42367.7268803
Incidence,India,Female,50 to 54,Stroke,Number,2009,36067.496862,41557.0872889,31499.1038559
Incidence,India,Male,55 to 59,Stroke,Number,2009,55767.5792462,64439.3541365,48152.2258806
Incidence,India,Female,55 to 59,Stroke,Number,2009,42740.8769782,50049.1991489,36495.3562058
Incidence,India,Male,60 to 64,Stroke,Number,2009,62675.6305118,70045.5509046,56251.0772819
Incidence,India,Female,60 to 64,Stroke,Number,2009,50019.1875234,56587.8987198,44589.0386891
Incidence,India,Male,65 to 69,Stroke,Number,2009,63143.0131881,72352.2706154,55039.9462393
Incidence,India,Female,65 to 69,Stroke,Number,2009,53022.4661093,61514.1056861,45809.2643864
Incidence,India,Male,70 to 74,Stroke,Number,2009,50651.2575579,57341.4695137,44545.1163933
Incidence,India,Female,70 to 74,Stroke,Number,2009,53619.5813952,60617.6186546,47120.9178169
Incidence,India,Male,75 to 79,Stroke,Number,2009,33666.6757633,38330.3172177,29264.156306
Incidence,India,Female,75 to 79,Stroke,Number,2009,42218.2178296,48144.9252176,36484.3630105
Incidence,India,Male,80 plus,Stroke,Number,2009,35453.1513101,38743.9320056,32496.4109212
Incidence,India,Female,80 plus,Stroke,Number,2009,46532.6759087,50909.1785676,42596.623546
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2013,25112.2068021,32742.297223,18956.5962707
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2013,15484.9937159,20791.6973672,10932.7368123
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2013,39218.6594562,52641.6765967,28370.8748908
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2013,21896.3695019,30848.225022,14645.3950354
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2013,56335.4392371,68511.0610596,45270.2034103
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2013,30540.8411523,38939.2445901,23045.1008271
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2013,73225.7583425,96625.1208801,53473.6905337
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2013,40646.0856544,54568.0353392,27930.2897517
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2013,94749.589693,114714.357358,77163.6861629
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2013,59361.1350823,72449.5932229,47019.5579059
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2013,102813.820764,133122.635737,78749.0873725
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2013,69779.4886621,91186.301113,52526.3515635
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2013,96056.5204506,116924.878462,79377.7429454
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2013,73819.2152723,90962.3131507,60907.8724268
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2013,77374.7576377,101731.830288,58262.4352959
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2013,69545.3383785,92746.6129312,51309.4206542
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2013,82868.8679833,99846.9768521,68614.3039485
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2013,76773.9741702,92741.0332174,63656.7598427
Incidence,India,Male,40 to 44,Stroke,Number,2013,32509.2514697,38177.4268789,27260.4059335
Incidence,India,Female,40 to 44,Stroke,Number,2013,25693.9446323,30146.4410074,21652.1226155
Incidence,India,Male,45 to 49,Stroke,Number,2013,43628.951378,52626.6326151,35973.0857887
Incidence,India,Female,45 to 49,Stroke,Number,2013,35110.4974601,42781.7407956,28872.4694137
Incidence,India,Male,50 to 54,Stroke,Number,2013,53556.6336773,61565.8678049,46598.6787416
Incidence,India,Female,50 to 54,Stroke,Number,2013,42398.7289028,49203.5794849,36745.7892869
Incidence,India,Male,55 to 59,Stroke,Number,2013,61525.5325867,72653.544239,52175.0613091
Incidence,India,Female,55 to 59,Stroke,Number,2013,49021.9738966,58243.8650625,41272.9563241
Incidence,India,Male,60 to 64,Stroke,Number,2013,70501.7749351,80246.1939581,62432.1381563
Incidence,India,Female,60 to 64,Stroke,Number,2013,58982.4826479,67929.6309717,52089.4151041
Incidence,India,Male,65 to 69,Stroke,Number,2013,69135.4888282,80214.7446256,59362.0090007
Incidence,India,Female,65 to 69,Stroke,Number,2013,58802.6763767,68964.7705411,49868.2866616
Incidence,India,Male,70 to 74,Stroke,Number,2013,55000.4543154,63067.9639527,47540.9375786
Incidence,India,Female,70 to 74,Stroke,Number,2013,56888.4522251,65168.8308652,49176.0757598
Incidence,India,Male,75 to 79,Stroke,Number,2013,36321.2537037,42028.6693377,30872.9280396
Incidence,India,Female,75 to 79,Stroke,Number,2013,50833.3837301,58732.0881151,43039.4364311
Incidence,India,Male,80 plus,Stroke,Number,2013,41130.1920219,45579.2232644,37180.5215353
Incidence,India,Female,80 plus,Stroke,Number,2013,58940.4163051,65379.7771162,53342.1170387
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2008,24677.1280375,31826.0314208,18842.9308648
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2008,13949.101715,18904.8290852,9850.74260581
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2008,38986.5939221,51769.6916423,28383.2138697
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2008,18987.6910291,26708.9844247,12698.1914006
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2008,55342.1213138,66024.648995,45550.3342855
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2008,26165.4304523,33100.6100817,19882.8969468
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2008,73290.9432072,94476.2182762,55960.2065129
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2008,36269.1191594,48533.9383443,25350.7410925
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2008,92851.2936176,110843.47127,76838.2373507
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2008,52116.9556032,63250.5330268,42049.4250009
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2008,101721.665472,127355.397262,78993.6628646
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2008,66301.1636174,84694.3068186,50874.6124389
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2008,95157.7254274,113686.345544,79701.9940165
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2008,72636.2045934,87079.7957629,60873.0898145
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2008,76926.2746244,99286.6071338,59086.4191075
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2008,59664.0393456,77554.1135153,45640.772783
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2008,73500.1275993,87235.2246298,62113.7142461
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2008,61345.5463238,72887.8940147,51868.3469698
Incidence,India,Male,40 to 44,Stroke,Number,2008,29760.3147598,34574.2307846,25350.7187939
Incidence,India,Female,40 to 44,Stroke,Number,2008,22832.4003703,26541.2820195,19427.0098756
Incidence,India,Male,45 to 49,Stroke,Number,2008,39683.2986591,47190.2954144,33174.1263392
Incidence,India,Female,45 to 49,Stroke,Number,2008,29842.357749,36008.4871638,24801.7331306
Incidence,India,Male,50 to 54,Stroke,Number,2008,46782.6858832,53243.8458022,41196.8264417
Incidence,India,Female,50 to 54,Stroke,Number,2008,34752.8417367,39989.4855623,30473.4270513
Incidence,India,Male,55 to 59,Stroke,Number,2008,53932.1838724,62135.187598,46823.4012224
Incidence,India,Female,55 to 59,Stroke,Number,2008,40996.4272021,47820.1007348,35098.8409415
Incidence,India,Male,60 to 64,Stroke,Number,2008,61183.2300936,68109.4700209,55046.2252741
Incidence,India,Female,60 to 64,Stroke,Number,2008,48403.0557379,54665.9367959,43277.3660916
Incidence,India,Male,65 to 69,Stroke,Number,2008,61754.7597911,70555.7898232,54103.8468211
Incidence,India,Female,65 to 69,Stroke,Number,2008,52581.7824826,60670.5437704,45623.0462516
Incidence,India,Male,70 to 74,Stroke,Number,2008,49716.4052444,56037.6409663,43909.2294172
Incidence,India,Female,70 to 74,Stroke,Number,2008,52256.6678909,58853.2375599,45961.5494262
Incidence,India,Male,75 to 79,Stroke,Number,2008,33167.6167153,37624.1588443,28878.5393567
Incidence,India,Female,75 to 79,Stroke,Number,2008,40065.4998227,45546.2849034,34798.8350093
Incidence,India,Male,80 plus,Stroke,Number,2008,34031.031949,37137.9427828,31218.8178825
Incidence,India,Female,80 plus,Stroke,Number,2008,44022.2029421,48181.1841511,40384.3778479
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2017,25431.4992199,33181.3883315,18986.1702026
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2017,16774.0406765,22545.1259259,11891.8972112
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2017,40429.9763656,54243.0866112,28739.7609428
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2017,25132.8830271,34727.1408059,17018.5195427
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2017,57137.1725218,70112.6633924,45088.4090994
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2017,35244.6800172,44687.7901639,26524.9472849
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2017,74269.0467854,97877.7664853,53345.0037178
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2017,46822.1510057,62716.8577953,32547.726995
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2017,91645.0081212,111596.107171,72751.9027921
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2017,64012.8166032,78806.0479587,50553.8406342
